action_de_formation_af_identifiant_onisep,formation_for_libelle,for_url_et_id_onisep,for_indexation_domaine_web_onisep,for_type,for_nature_du_certificat,for_url_referentiel,for_niveau_de_sortie,lieu_denseignement_ens_libelle,ens_url_et_id_onisep,ens_code_uai,ens_statut,ens_adresse,ens_code_postal,ens_commune,ens_departement,ens_academie,ens_region,ens_latitude,ens_longitude,ens_n_telephone,ens_site_web,ens_hebergement,ens_accessibilite,af_duree_cycle_standard,af_modalites_scolarite,af_elements_denseignement,af_cout_scolarite,af_modalites_accueil,af_page_web,af_date_de_creation,af_date_de_modification
AF.948,mastère spé. manager du changement et de l'innovation durable,https://www.onisep.fr/http/redirection/formation/slug/FOR.999,"environnement, énergies, propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| matières premières, fabrication, industries/fonction production (généralités)| armée, sécurité/sécurité, prévention",mastère spécialisé,Label de la Conférence des grandes écoles (CGE),https://www.francecompetences.fr/recherche/rncp/38265/,bac + 6,École nationale supérieure d'arts et métiers - campus Arts et Métiers de Paris,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1967,0753472S,public,151 boulevard de l'Hôpital,75013,Paris,Paris,Paris,Ile-de-France,48.8337,2.35751,01 44 24 62 76,http://www.artsetmetiers.fr,"sans hébergement (résidences étudiantes attenantes aux différents centres Arts et Métiers Paris. Nombre de places disponibles limité, mais la plupart des demandes sont généralement satisfaites...)",Locaux accessibles,1 an,"temps plein, cours en présentiel",,,,,06/06/2020,04/07/2023
AF.138983,master mention sciences économiques et sociales,https://www.onisep.fr/http/redirection/formation/slug/FOR.10299,"économie, droit, politique/sciences économiques| histoire-géographie, psychologie, sociologie/sciences humaines et sociales (généralités)| histoire-géographie, psychologie, sociologie/sciences sociales",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39001/,bac + 5,École des hautes études en sciences sociales,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7774,0753742K,public,54 boulevard Raspail,75006,Paris,Paris,Paris,Ile-de-France,48.8504,2.32703,01 49 54 25 25,http://www.ehess.fr,sans hébergement,,2 ans,"temps plein, cours en présentiel",parcours économies et sociétés,,,https://www.ehess.fr/jcms/ehess_30912/fr/master-sciences-economiques-et-sociales,11/06/2025,25/06/2026
AF.38086,master mention mécanique,https://www.onisep.fr/http/redirection/formation/slug/FOR.10038,mécanique/mécanique (généralités),master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38682/,bac + 5,Centrale Lille Institut,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22977,0597139P,public,"Cité scientifique, CS 20048",59651,Villeneuve-d'Ascq,Nord,Lille,Hauts-de-France,50.6068423,3.1427818,03 20 33 53 53,https://centralelille.fr,sans hébergement,Locaux accessibles,2 ans,"temps plein, cours en présentiel",parcours European Master of Science in Advanced Solid Mechanics | parcours r&d en mécanique des matériaux,,,,06/06/2020,17/06/2024
AF.40457,licence mention langues étrangères appliquées,https://www.onisep.fr/http/redirection/formation/slug/FOR.10343,"lettres, langues, enseignement/langues",licence,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/39173/,bac + 3,"Faculté des arts, lettres, langues et sciences humaines - Site Schuman - Aix-en-Provence",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19132,0134017W,public,29 avenue Robert Schuman,13621,Aix-en-Provence,Bouches-du-Rhône,Aix-Marseille,Provence-Alpes-Côte d'Azur,43.5155,5.44692,04 42 95 37 52,http://allsh.univ-amu.fr/,sans hébergement,,3 ans,"temps plein, cours en présentiel",parcours LEA anglais - allemand | parcours LEA anglais - arabe | parcours LEA anglais - chinois | parcours LEA anglais - coréen | parcours LEA anglais - espagnol | parcours LEA anglais - italien | parcours LEA anglais - japonais | parcours LEA anglais - russe | parcours LEA anglais - turc | double cursus double diplôme franco allemand LEA anglais - allemand | double cursus double diplôme franco allemand ou espagnol LEA anglais - allemand ou espagnol  | double cursus double diplôme licence LEA anglais - italien - licence médiation linguistique et culturelle (université de Milan Italie),,,https://formations.univ-amu.fr/fr/licence/3HLA,06/06/2020,12/01/2024
AF.14456,Master's Degree International Air Transport Operations Management,https://www.onisep.fr/http/redirection/formation/slug/FOR.1189,"logistique, transport/transport",formation d'école spécialisée,Certificat délivré par l'école,,bac + 5,École nationale de l'aviation civile - campus de Toulouse,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16881,0311256X,public,"7 avenue Édouard Belin, CS 54005",31055,Toulouse,Haute-Garonne,Toulouse,Occitanie,43.5644,1.48171,05 62 17 40 00,http://www.enac.fr/,sans hébergement (mais possibilités de logement en chambres d'étudiant ou en studios sur le campus de l'école),"Locaux accessibles : rampe d'accès, ascenseur, accessibilité partielle",2 ans,"temps plein, cours en présentiel",,,,,06/06/2020,04/07/2023
AF.82054,"master mention électronique, énergie électrique, automatique",https://www.onisep.fr/http/redirection/formation/slug/FOR.10045,"mécanique/automatismes| électricité, électronique, robotique/électronique| environnement, énergies, propreté/énergies",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38687/,bac + 5,Institut national des sciences et techniques nucléaires,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11922,0910685A,public,CEA-Saclay,91191,Gif-sur-Yvette,Essonne,Versailles,Ile-de-France,48.69656927694,2.1346414089203,01 69 08 81 41,https://instn.cea.fr/,sans hébergement,,2 ans,"temps plein, cours en présentiel",,,,,06/06/2020,05/07/2023
AF.46963,master mention sciences et génie des matériaux,https://www.onisep.fr/http/redirection/formation/slug/FOR.10034,"matières premières, fabrication, industries/matériaux",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38708/,bac + 5,Institut littoral urbain durable intelligent,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18450,0171638N,public,Avenue Michel Crépeau,17000,La Rochelle,Charente-Maritime,Poitiers,Nouvelle-Aquitaine,46.142561504469,-1.1574752090604,05 46 45 91 14,https://www.univ-larochelle.fr,sans hébergement,Locaux accessibles : ascenseur,2 ans,"temps plein, cours en présentiel",parcours durabilité des matériaux et des structures | parcours matériaux pour les énergies renouvelables,,,,06/06/2020,28/11/2025
AF.20004,mastère spé. management et innovation dans la mode (ENSAIT - IAE - IFM),https://www.onisep.fr/http/redirection/formation/slug/FOR.2686,"commerce, marketing, vente/achat, approvisionnement| arts, culture, artisanat/arts graphiques| environnement, énergies, propreté/environnement (généralités)| matières premières, fabrication, industries/études et développement| commerce, marketing, vente/grande distribution et petits commerces",mastère spécialisé,Label de la Conférence des grandes écoles (CGE),,bac + 6,École nationale supérieure des arts et industries textiles,https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19740,0590338X,public,"2 allée Louise et Victor Champier, BP 30329",59056,Roubaix,Nord,Lille,Hauts-de-France,50.6948,3.16823,03 20 25 64 64,http://www.ensait.fr,"sans hébergement (un responsable logement au sein du BDE est chargé d’accompagner les étudiants dans leur recherche de logement : mise à disposition des offres aux alentours de l’école, accompagnement personnalisé...)","Locaux accessibles : accessibilité totale pour handicap moteur, ascenseur, rampe d'accès",1 an,"temps plein, cours en présentiel (avec obligation de 4 mois d'alternance en entreprise)",,6000 euros en 2025,,http://mastere-mim.ensait.fr/presentation/,06/06/2020,10/10/2025
AF.914,master mention réseaux et télécommunication,https://www.onisep.fr/http/redirection/formation/slug/FOR.10232,"électricité, électronique, robotique/télécommunications",master,Diplôme national ou diplôme d'État,https://www.francecompetences.fr/recherche/rncp/38997/,bac + 5,"INSA Hauts-de-France - campus du Mont Houy, UPHF",https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7791,0597132G,public,Campus du Mont Houy,59313,Valenciennes,Nord,Lille,Hauts-de-France,50.323203,3.5141876,03 27 51 12 00,https://www.insa-hautsdefrance.fr,sans hébergement,,2 ans,"temps plein, cours en présentiel",parcours cyber-défense et sécurité de l'information,,,https://formations.uphf.fr/fr/formations/master-master/master-reseaux-et-telecommunication-parcours-cyber-securite-defense-des-systemes-d-information-KZZQE6PF.html,06/06/2020,23/06/2026
AF.9279,mastère spé. expert en efficacité énergétique dans la rénovation des bâtiments (Mines Saint-Etienne - ENISE),https://www.onisep.fr/http/redirection/formation/slug/FOR.1919,"environnement, énergies, propreté/énergies| construction, architecture, travaux publics/équipement technique| matières premières, fabrication, industries/fonction production (généralités)| construction, architecture, travaux publics/génie civil, construction (généralités)| matières premières, fabrication, industries/génie industriel",mastère spécialisé,Label de la Conférence des grandes écoles (CGE),https://www.francecompetences.fr/recherche/rncp/36710/,bac + 6,Centrale Lyon ENISE (École nationale d'ingénieurs de Saint-Étienne de l'École centrale de Lyon),https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9532,0420093Y,public,58 rue Jean Parot,42023,Saint-Etienne,Loire,Lyon,Auvergne-Rhône-Alpes,45.433756,4.414272,04 77 43 84 84,http://www.enise.fr,sans hébergement,"Locaux accessibles : accessibilité totale pour handicap moteur, rampe d'accès, ascenseur",1 an,"temps plein, cours en présentiel",,,,,06/06/2020,22/02/2024
